subjCode	seed	angleAssign	labelAssign	condition	room	date_time	dateStr	expVersion	block	trialType	trial	target	angle	left	right	freq	blit	clate	gled	gorm	grah	hoon	noobda	pim	nearbyLabel1	nearbyAngle1	nearbyFreq1	nearbyLabel2	nearbyAngle2	nearbyFreq2	updateScore	feedback	trialType	trialNumber	response	label	isRight	rt	score
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	12	mog	240	grah	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	35	NA	mog	1	3780.08367266	13
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	11	minada	60	minada	mog	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	36	NA	minada	1	4863.3138238	14
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	15	gorm	105	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	37	NA	gorm	1	2712.98888289	15
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	4	gorm	105	sarp	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	38	NA	gorm	1	2413.5636042	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	16	minada	60	gorm	minada	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	39	NA	minada	1	3012.84520256	17
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	learn	pairLearn	13	mog	240	mog	gorm	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	pairLearn	40	NA	gorm	0	2746.62668168	18
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	1	clate	15	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	17	NA	clate	1	2049.97600297	16
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	2	minada	60	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	18	NA	minada	1	3033.27920167	14
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	4	sarp	150	NA	NA	lf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	19	NA	gorm	0	3266.53123689	0
301	1	1	1	test	273A1	2017-11-16 10:06	2017_Nov_16_1008	wc2_3_v1	init	name	3	gorm	105	NA	NA	hf	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	name	20	NA	gorm	1	2318.37780079	15
